Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[kernel32.dll]","[kernel32.dll]",481,19,1.52,0.06,
"Caller","[kernel32.dll]","__CrtIsValidHeapPointer",481,19,1.52,0.06,
"Callee","[kernel32.dll]","[ntdll.dll]",456,57,1.44,0.18,
"Callee","[kernel32.dll]","__free_base",2,0,0.01,0.00,
"Callee","[kernel32.dll]","EdgeEntry::push(int)",3,0,0.01,0.00,
"Callee","[kernel32.dll]","operator new(unsigned int)",1,0,0.00,0.00,
"Root","[ntdll.dll]","[ntdll.dll]","3,141","3,141",9.90,9.90,
"Caller","[ntdll.dll]","[kernel32.dll]",456,57,1.44,0.18,
"Caller","[ntdll.dll]","[ntdll.dll]",687,687,2.16,2.16,
"Caller","[ntdll.dll]","[SamplingRuntime.dll]",7,7,0.02,0.02,
"Caller","[ntdll.dll]","__CrtIsValidHeapPointer",11,6,0.03,0.02,
"Caller","[ntdll.dll]","__free_base",272,107,0.86,0.34,
"Caller","[ntdll.dll]","__free_dbg_nolock",14,6,0.04,0.02,
"Caller","[ntdll.dll]","__heap_alloc_base",260,159,0.82,0.50,
"Caller","[ntdll.dll]","__lock",81,81,0.26,0.26,
"Caller","[ntdll.dll]","__Mtxlock",911,911,2.87,2.87,
"Caller","[ntdll.dll]","__Mtxunlock",978,978,3.08,3.08,
"Caller","[ntdll.dll]","__nh_malloc_dbg",3,3,0.01,0.01,
"Caller","[ntdll.dll]","__unlock",100,100,0.32,0.32,
"Caller","[ntdll.dll]","_heap_alloc_dbg_impl",25,16,0.08,0.05,
"Caller","[ntdll.dll]","_malloc",1,1,0.00,0.00,
"Caller","[ntdll.dll]","EdgeEntry::push(int)",3,3,0.01,0.01,
"Caller","[ntdll.dll]","operator new(unsigned int)",1,1,0.00,0.00,
"Caller","[ntdll.dll]","std::_Lockit::~_Lockit(void)",1,1,0.00,0.00,
"Caller","[ntdll.dll]","Unknown Frame(s)",17,17,0.05,0.05,
"Callee","[ntdll.dll]","[ntdll.dll]",687,687,2.16,2.16,
"Root","[PushRelabel.exe]","[PushRelabel.exe]",881,881,2.78,2.78,
"Caller","[PushRelabel.exe]","__chvalidator_l",5,5,0.02,0.02,
"Caller","[PushRelabel.exe]","__CrtIsValidHeapPointer",1,1,0.00,0.00,
"Caller","[PushRelabel.exe]","__free_dbg",4,4,0.01,0.01,
"Caller","[PushRelabel.exe]","__free_dbg_nolock",6,6,0.02,0.02,
"Caller","[PushRelabel.exe]","_free",2,2,0.01,0.01,
"Caller","[PushRelabel.exe]","_heap_alloc_dbg_impl",15,15,0.05,0.05,
"Caller","[PushRelabel.exe]","_malloc",3,3,0.01,0.01,
"Caller","[PushRelabel.exe]","_memcpy_s",1,1,0.00,0.00,
"Caller","[PushRelabel.exe]","EdgeEntry::push(int)",4,4,0.01,0.01,
"Caller","[PushRelabel.exe]","Graph::readGraph(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >)",2,2,0.01,0.01,
