Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"EdgeEntry::getEndPoint(void)","7,324","7,324",23.07,23.07,
"[ntdll.dll]","3,141","3,141",9.90,9.90,
"EdgeEntry::getNext(void)","2,872","2,872",9.05,9.05,
"PushRelabel::updateLabels(bool)","24,208","1,650",76.27,5.20,
"Node::getLabel(void)","1,613","1,613",5.08,5.08,
"std::deque<int,class std::allocator<int> >::push_back(int const &)","2,547","1,061",8.02,3.34,
"[PushRelabel.exe]",881,881,2.78,2.78,
"std::_Lockit::_Lockit(int)","1,852",740,5.83,2.33,
"HighLabelQueue::findNewPtr(void)",710,710,2.24,2.24,
"EdgeEntry::isSaturated(void)",664,664,2.09,2.09,
"std::deque<int,class std::allocator<int> >::pop_front(void)","2,107",643,6.64,2.03,
"std::_Lockit::~_Lockit(void)","1,754",611,5.53,1.93,
"Node::setLabel(int)",534,534,1.68,1.68,
"std::_Deque_const_iterator<int,class std::allocator<int>,1>::operator*(void)const ",491,491,1.55,1.55,
"std::_Iterator_base::_Orphan_me(void)",368,368,1.16,1.16,
"std::_Iterator_base::_Adopt(class std::_Container_base_secure const *)","1,316",342,4.15,1.08,
"std::_Deque_const_iterator<int,class std::allocator<int>,1>::_Deque_const_iterator<int,class std::allocator<int>,1>(unsigned int,class std::_Container_base_secure const *)","1,985",337,6.25,1.06,
"std::deque<int,class std::allocator<int> >::front(void)","5,114",306,16.11,0.96,
"std::deque<int,class std::allocator<int> >::_Orphan_off(unsigned int)const ","1,180",301,3.72,0.95,
"_memset",263,263,0.83,0.83,
"std::deque<int,class std::allocator<int> >::empty(void)const ",228,228,0.72,0.72,
"std::queue<int,class std::deque<int,class std::allocator<int> > >::front(void)","5,359",227,16.88,0.72,
"std::_Deque_iterator<int,class std::allocator<int>,1>::~_Deque_iterator<int,class std::allocator<int>,1>(void)","1,982",222,6.24,0.70,
"std::_Construct<int,int>(int *,int const &)",323,213,1.02,0.67,
"PushRelabel::discharge(class Node *)","3,623",205,11.41,0.65,
"__Mtxlock","1,082",171,3.41,0.54,
"CheckBytes",170,170,0.54,0.54,
"std::_Iterator_base::~_Iterator_base(void)","1,401",168,4.41,0.53,
"Node::getAdjList(void)",165,165,0.52,0.52,
"std::queue<int,class std::deque<int,class std::allocator<int> > >::pop(void)","2,282",164,7.19,0.52,
"__free_dbg_nolock","1,285",159,4.05,0.50,
"Node::getExcess(void)",158,158,0.50,0.50,
"__Mtxunlock","1,121",143,3.53,0.45,
"_heap_alloc_dbg_impl",747,142,2.35,0.45,
"std::_Deque_const_iterator<int,class std::allocator<int>,1>::~_Deque_const_iterator<int,class std::allocator<int>,1>(void)","1,749",132,5.51,0.42,
"std::queue<int,class std::deque<int,class std::allocator<int> > >::empty(void)const ",261,132,0.82,0.42,
"PushRelabel::isAdmissible(class Node *,class EdgeEntry *)","1,173",126,3.70,0.40,
"std::_Container_base_secure::_Orphan_all(void)const ","1,084",125,3.42,0.39,
"std::_Iterator_base::_Iterator_base(void)",121,121,0.38,0.38,
"std::deque<int,class std::allocator<int> >::begin(void)","2,215",114,6.98,0.36,
"PushRelabel::relabel(class Node *)",688,114,2.17,0.36,
"std::getline<char,struct std::char_traits<char>,class std::allocator<char> >(class std::basic_istream<char,struct std::char_traits<char> > &,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,char)",698,111,2.20,0.35,
"Graph::getSource(void)",102,102,0.32,0.32,
"operator new(unsigned int,void *)",101,101,0.32,0.32,
"std::queue<int,class std::deque<int,class std::allocator<int> > >::push(int const &)","2,653",99,8.36,0.31,
"std::_Deque_iterator<int,class std::allocator<int>,1>::_Deque_iterator<int,class std::allocator<int>,1>(unsigned int,class std::_Container_base_secure const *)","2,089",98,6.58,0.31,
"EdgeEntry::incFlow(int)",96,96,0.30,0.30,
"std::_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>::~_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>(void)","1,501",93,4.73,0.29,
"std::_Ranit<int,int,int const *,int const &>::~_Ranit<int,int,int const *,int const &>(void)","1,603",92,5.05,0.29,
"std::_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>::_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>(void)",216,88,0.68,0.28,
"Graph::getNodesNum(void)",88,88,0.28,0.28,
"std::_Deque_iterator<int,class std::allocator<int>,1>::operator*(void)const ",585,83,1.84,0.26,
"std::_Ranit<int,int,int const *,int const &>::_Ranit<int,int,int const *,int const &>(void)",309,83,0.97,0.26,
"strtoxl",261,81,0.82,0.26,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Myptr(void)",76,76,0.24,0.24,
"HighLabelQueue::getNode(void)","2,303",72,7.26,0.23,
"HighLabelQueue::DList::removeFront(void)","1,520",71,4.79,0.22,
"HighLabelQueue::addNode(class Node *)",940,68,2.96,0.21,
"HighLabelQueue::DList::insertFront(class Node *)",783,68,2.47,0.21,
