Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[kernel32.dll]","[kernel32.dll]",495,16,1.56,0.05,
"Caller","[kernel32.dll]","__CrtIsValidHeapPointer",495,16,1.56,0.05,
"Callee","[kernel32.dll]","[ntdll.dll]",471,54,1.49,0.17,
"Callee","[kernel32.dll]","__free_base",5,0,0.02,0.00,
"Callee","[kernel32.dll]","EdgeEntry::push(int)",3,0,0.01,0.00,
"Root","[ntdll.dll]","[ntdll.dll]","3,105","3,105",9.80,9.80,
"Caller","[ntdll.dll]","[kernel32.dll]",471,54,1.49,0.17,
"Caller","[ntdll.dll]","[ntdll.dll]",731,731,2.31,2.31,
"Caller","[ntdll.dll]","[SamplingRuntime.dll]",4,4,0.01,0.01,
"Caller","[ntdll.dll]","__CrtIsValidHeapPointer",17,11,0.05,0.03,
"Caller","[ntdll.dll]","__free_base",280,116,0.88,0.37,
"Caller","[ntdll.dll]","__free_dbg_nolock",10,2,0.03,0.01,
"Caller","[ntdll.dll]","__heap_alloc_base",277,148,0.87,0.47,
"Caller","[ntdll.dll]","__lock",75,75,0.24,0.24,
"Caller","[ntdll.dll]","__Mtxlock",846,846,2.67,2.67,
"Caller","[ntdll.dll]","__Mtxunlock",976,976,3.08,3.08,
"Caller","[ntdll.dll]","__nh_malloc_dbg",1,1,0.00,0.00,
"Caller","[ntdll.dll]","__unlock",96,96,0.30,0.30,
"Caller","[ntdll.dll]","_heap_alloc_dbg_impl",18,11,0.06,0.03,
"Caller","[ntdll.dll]","_malloc",2,2,0.01,0.01,
"Caller","[ntdll.dll]","EdgeEntry::push(int)",3,3,0.01,0.01,
"Caller","[ntdll.dll]","Unknown Frame(s)",29,29,0.09,0.09,
"Callee","[ntdll.dll]","[ntdll.dll]",731,731,2.31,2.31,
"Root","[PushRelabel.exe]","[PushRelabel.exe]",880,880,2.78,2.78,
"Caller","[PushRelabel.exe]","__chvalidator_l",6,6,0.02,0.02,
"Caller","[PushRelabel.exe]","__free_dbg",1,1,0.00,0.00,
"Caller","[PushRelabel.exe]","__free_dbg_nolock",9,9,0.03,0.03,
"Caller","[PushRelabel.exe]","_atoi",1,1,0.00,0.00,
"Caller","[PushRelabel.exe]","_free",3,3,0.01,0.01,
"Caller","[PushRelabel.exe]","_heap_alloc_dbg_impl",15,15,0.05,0.05,
"Caller","[PushRelabel.exe]","_malloc",4,4,0.01,0.01,
"Caller","[PushRelabel.exe]","EdgeEntry::push(int)",1,1,0.00,0.00,
"Caller","[PushRelabel.exe]","Graph::readGraph(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >)",2,2,0.01,0.01,
"Caller","[PushRelabel.exe]","HighLabelQueue::addNode(class Node *)",12,12,0.04,0.04,
"Caller","[PushRelabel.exe]","HighLabelQueue::DList::insertFront(class Node *)",2,2,0.01,0.01,
"Caller","[PushRelabel.exe]","HighLabelQueue::getNode(void)",1,1,0.00,0.00,
"Caller","[PushRelabel.exe]","PushRelabel::discharge(class Node *)",37,37,0.12,0.12,
"Caller","[PushRelabel.exe]","PushRelabel::isAdmissible(class Node *,class EdgeEntry *)",23,23,0.07,0.07,
"Caller","[PushRelabel.exe]","PushRelabel::preflow(void)",6,6,0.02,0.02,
"Caller","[PushRelabel.exe]","PushRelabel::push(int,class EdgeEntry *,int)",3,3,0.01,0.01,
"Caller","[PushRelabel.exe]","PushRelabel::relabel(class Node *)",19,19,0.06,0.06,
"Caller","[PushRelabel.exe]","PushRelabel::updateLabels(bool)",273,273,0.86,0.86,
"Caller","[PushRelabel.exe]","std::_Construct<int,int>(int *,int const &)",7,7,0.02,0.02,
"Caller","[PushRelabel.exe]","std::_Container_base_secure::_Orphan_all(void)const ",12,12,0.04,0.04,
"Caller","[PushRelabel.exe]","std::_Deque_const_iterator<int,class std::allocator<int>,1>::_Deque_const_iterator<int,class std::allocator<int>,1>(unsigned int,class std::_Container_base_secure const *)",16,16,0.05,0.05,
"Caller","[PushRelabel.exe]","std::_Deque_const_iterator<int,class std::allocator<int>,1>::~_Deque_const_iterator<int,class std::allocator<int>,1>(void)",7,7,0.02,0.02,
"Caller","[PushRelabel.exe]","std::_Deque_iterator<int,class std::allocator<int>,1>::_Deque_iterator<int,class std::allocator<int>,1>(unsigned int,class std::_Container_base_secure const *)",5,5,0.02,0.02,
"Caller","[PushRelabel.exe]","std::_Deque_iterator<int,class std::allocator<int>,1>::~_Deque_iterator<int,class std::allocator<int>,1>(void)",8,8,0.03,0.03,
"Caller","[PushRelabel.exe]","std::_Deque_iterator<int,class std::allocator<int>,1>::operator*(void)const ",10,10,0.03,0.03,
"Caller","[PushRelabel.exe]","std::_Iterator_base::_Adopt(class std::_Container_base_secure const *)",25,25,0.08,0.08,
"Caller","[PushRelabel.exe]","std::_Iterator_base::~_Iterator_base(void)",28,28,0.09,0.09,
"Caller","[PushRelabel.exe]","std::_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>::_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>(void)",7,7,0.02,0.02,
"Caller","[PushRelabel.exe]","std::_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>::~_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>(void)",5,5,0.02,0.02,
"Caller","[PushRelabel.exe]","std::_Lockit::_Lockit(int)",37,37,0.12,0.12,
"Caller","[PushRelabel.exe]","std::_Lockit::~_Lockit(void)",38,38,0.12,0.12,
"Caller","[PushRelabel.exe]","std::_Ranit<int,int,int const *,int const &>::_Ranit<int,int,int const *,int const &>(void)",10,10,0.03,0.03,
"Caller","[PushRelabel.exe]","std::_Ranit<int,int,int const *,int const &>::~_Ranit<int,int,int const *,int const &>(void)",12,12,0.04,0.04,
"Caller","[PushRelabel.exe]","std::_String_base::~_String_base(void)",2,2,0.01,0.01,
"Caller","[PushRelabel.exe]","std::_String_val<char,class std::allocator<char> >::_String_val<char,class std::allocator<char> >(class std::allocator<char>)",1,1,0.00,0.00,
"Caller","[PushRelabel.exe]","std::allocator<int>::construct(int *,int const &)",12,12,0.04,0.04,
"Caller","[PushRelabel.exe]","std::allocator<int>::destroy(int *)",9,9,0.03,0.03,
"Caller","[PushRelabel.exe]","std::basic_streambuf<char,struct std::char_traits<char> >::sgetc(void)",1,1,0.00,0.00,
"Caller","[PushRelabel.exe]","std::basic_streambuf<char,struct std::char_traits<char> >::snextc(void)",5,5,0.02,0.02,
"Caller","[PushRelabel.exe]","std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Chassign(unsigned int,unsigned int,char)",2,2,0.01,0.01,
"Caller","[PushRelabel.exe]","std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Eos(unsigned int)",3,3,0.01,0.01,
"Caller","[PushRelabel.exe]","std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Grow(unsigned int,bool)",3,3,0.01,0.01,
"Caller","[PushRelabel.exe]","std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Tidy(bool,unsigned int)",1,1,0.00,0.00,
"Caller","[PushRelabel.exe]","std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::append(unsigned int,char)",5,5,0.02,0.02,
"Caller","[PushRelabel.exe]","std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::assign(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,unsigned int,unsigned int)",2,2,0.01,0.01,
