Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"EdgeEntry::getEndPoint(void)","7,207","7,207",22.75,22.75,
"[ntdll.dll]","3,105","3,105",9.80,9.80,
"EdgeEntry::getNext(void)","2,850","2,850",9.00,9.00,
"Node::getLabel(void)","1,626","1,626",5.13,5.13,
"PushRelabel::updateLabels(bool)","24,160","1,610",76.26,5.08,
"std::deque<int,class std::allocator<int> >::push_back(int const &)","2,670","1,165",8.43,3.68,
"[PushRelabel.exe]",880,880,2.78,2.78,
"std::_Lockit::_Lockit(int)","1,794",733,5.66,2.31,
"HighLabelQueue::findNewPtr(void)",727,727,2.29,2.29,
"std::deque<int,class std::allocator<int> >::pop_front(void)","2,068",652,6.53,2.06,
"Node::setLabel(int)",618,618,1.95,1.95,
"EdgeEntry::isSaturated(void)",614,614,1.94,1.94,
"std::_Lockit::~_Lockit(void)","1,749",593,5.52,1.87,
"std::_Deque_const_iterator<int,class std::allocator<int>,1>::operator*(void)const ",458,458,1.45,1.45,
"std::_Iterator_base::_Orphan_me(void)",380,380,1.20,1.20,
"std::_Iterator_base::_Adopt(class std::_Container_base_secure const *)","1,317",335,4.16,1.06,
"std::deque<int,class std::allocator<int> >::_Orphan_off(unsigned int)const ","1,134",334,3.58,1.05,
"std::deque<int,class std::allocator<int> >::front(void)","5,057",323,15.96,1.02,
"std::_Deque_const_iterator<int,class std::allocator<int>,1>::_Deque_const_iterator<int,class std::allocator<int>,1>(unsigned int,class std::_Container_base_secure const *)","1,959",302,6.18,0.95,
"std::queue<int,class std::deque<int,class std::allocator<int> > >::front(void)","5,312",247,16.77,0.78,
"_memset",242,242,0.76,0.76,
"std::_Construct<int,int>(int *,int const &)",342,241,1.08,0.76,
"std::_Deque_iterator<int,class std::allocator<int>,1>::~_Deque_iterator<int,class std::allocator<int>,1>(void)","1,968",231,6.21,0.73,
"std::deque<int,class std::allocator<int> >::empty(void)const ",229,229,0.72,0.72,
"__Mtxlock","1,024",178,3.23,0.56,
"Node::getAdjList(void)",178,178,0.56,0.56,
"CheckBytes",177,177,0.56,0.56,
"std::queue<int,class std::deque<int,class std::allocator<int> > >::pop(void)","2,259",175,7.13,0.55,
"PushRelabel::discharge(class Node *)","3,607",174,11.39,0.55,
"__free_dbg_nolock","1,304",168,4.12,0.53,
"std::_Iterator_base::~_Iterator_base(void)","1,424",164,4.49,0.52,
"_heap_alloc_dbg_impl",784,160,2.47,0.51,
"std::queue<int,class std::deque<int,class std::allocator<int> > >::empty(void)const ",290,160,0.92,0.51,
"__Mtxunlock","1,119",143,3.53,0.45,
"std::_Iterator_base::_Iterator_base(void)",143,143,0.45,0.45,
"std::_Deque_const_iterator<int,class std::allocator<int>,1>::~_Deque_const_iterator<int,class std::allocator<int>,1>(void)","1,729",141,5.46,0.45,
"Node::getExcess(void)",139,139,0.44,0.44,
"PushRelabel::isAdmissible(class Node *,class EdgeEntry *)","1,125",133,3.55,0.42,
"PushRelabel::relabel(class Node *)",699,128,2.21,0.40,
"std::deque<int,class std::allocator<int> >::begin(void)","2,193",123,6.92,0.39,
"std::_Container_base_secure::_Orphan_all(void)const ","1,058",123,3.34,0.39,
"std::getline<char,struct std::char_traits<char>,class std::allocator<char> >(class std::basic_istream<char,struct std::char_traits<char> > &,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,char)",709,109,2.24,0.34,
"Graph::getNodesNum(void)",102,102,0.32,0.32,
"std::_Deque_iterator<int,class std::allocator<int>,1>::_Deque_iterator<int,class std::allocator<int>,1>(unsigned int,class std::_Container_base_secure const *)","2,062",98,6.51,0.31,
"EdgeEntry::incFlow(int)",96,96,0.30,0.30,
"Graph::getSource(void)",96,96,0.30,0.30,
"operator new(unsigned int,void *)",94,94,0.30,0.30,
"std::_Ranit<int,int,int const *,int const &>::_Ranit<int,int,int const *,int const &>(void)",324,90,1.02,0.28,
"std::allocator<int>::construct(int *,int const &)",441,87,1.39,0.27,
"std::_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>::~_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>(void)","1,504",75,4.75,0.24,
"std::allocator<int>::destroy(int *)",145,75,0.46,0.24,
"std::_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>::_Iterator_with_base<struct std::random_access_iterator_tag,int,int,int const *,int const &,class std::_Iterator_base>(void)",224,74,0.71,0.23,
"HighLabelQueue::getNode(void)","2,325",71,7.34,0.22,
"strtoxl",243,70,0.77,0.22,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Myptr(void)",70,70,0.22,0.22,
"std::queue<int,class std::deque<int,class std::allocator<int> > >::push(int const &)","2,749",69,8.68,0.22,
"std::_Deque_iterator<int,class std::allocator<int>,1>::operator*(void)const ",537,69,1.70,0.22,
"HighLabelQueue::DList::removeFront(void)","1,526",67,4.82,0.21,
"__chvalidator_l",144,66,0.45,0.21,
"std::_Ranit<int,int,int const *,int const &>::~_Ranit<int,int,int const *,int const &>(void)","1,581",65,4.99,0.21,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::append(unsigned int,char)",235,64,0.74,0.20,
"HighLabelQueue::DList::insertFront(class Node *)",837,63,2.64,0.20,
"std::_Destroy<int>(int *)",61,61,0.19,0.19,
"HighLabelQueue::addNode(class Node *)","1,006",60,3.18,0.19,
"std::basic_streambuf<char,struct std::char_traits<char> >::_Gnpreinc(void)",60,60,0.19,0.19,
"Node::getID(void)",59,59,0.19,0.19,
"PushRelabel::preflow(void)","6,030",55,19.03,0.17,
"Node::incExcess(int)",52,52,0.16,0.16,
"std::allocator<char>::max_size(void)const ",45,45,0.14,0.14,
"NodePool::isEmpty(void)",41,41,0.13,0.13,
"__lock",115,40,0.36,0.13,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::max_size(void)const ",87,40,0.27,0.13,
"EdgeEntry::getResCapacity(void)",40,40,0.13,0.13,
"__free_base",327,38,1.03,0.12,
"__free_dbg","1,445",35,4.56,0.11,
"_LocaleUpdate::_LocaleUpdate(struct localeinfo_struct *)",35,35,0.11,0.11,
