Function Name,Exclusive Samples,Exclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[kernel32.dll]",16,0.05,0,0,0,0,
"[ntdll.dll]","3,105",9.80,0,0,0,0,
"[PushRelabel.exe]",880,2.78,0,0,0,0,
"__chvalidator_l",1,0.00,65,0,65,0,
"__chvalidator_l",3,0.01,66,0,66,0,
"__chvalidator_l",23,0.07,68,0,68,0,
"__chvalidator_l",3,0.01,69,0,69,0,
"__chvalidator_l",32,0.10,71,0,71,0,
"__chvalidator_l",4,0.01,77,0,77,0,
"__CrtDefaultAllocHook",7,0.02,47,0,47,0,
"__CrtDefaultAllocHook",2,0.01,48,0,48,0,
"__CrtDefaultAllocHook",10,0.03,49,0,49,0,
"__CrtIsValidHeapPointer",3,0.01,"2,030",0,"2,030",0,
"__CrtIsValidHeapPointer",2,0.01,"2,037",0,"2,037",0,
"__CrtIsValidHeapPointer",8,0.03,"2,040",0,"2,040",0,
"__CrtIsValidHeapPointer",2,0.01,"2,047",0,"2,047",0,
"__CrtIsValidHeapPointer",7,0.02,"2,078",0,"2,078",0,
"__CrtIsValidHeapPointer",10,0.03,"2,103",0,"2,103",0,
"__CrtIsValidPointer",3,0.01,"2,007",0,"2,007",0,
"__CrtIsValidPointer",6,0.02,"2,008",0,"2,008",0,
"__CrtIsValidPointer",4,0.01,"2,009",0,"2,009",0,
"__fileno",1,0.00,40,0,40,0,
"__free_base",18,0.06,42,0,42,0,
"__free_base",1,0.00,47,0,47,0,
"__free_base",2,0.01,53,0,53,0,
"__free_base",4,0.01,109,0,109,0,
"__free_base",4,0.01,110,0,110,0,
"__free_base",9,0.03,115,0,115,0,
"__free_dbg",7,0.02,"1,250",0,"1,250",0,
"__free_dbg",3,0.01,"1,253",0,"1,253",0,
"__free_dbg",6,0.02,"1,258",0,"1,258",0,
"__free_dbg",9,0.03,"1,260",0,"1,260",0,
"__free_dbg",4,0.01,"1,263",0,"1,263",0,
"__free_dbg",6,0.02,"1,265",0,"1,265",0,
"__free_dbg_nolock",2,0.01,"1,273",0,"1,273",0,
"__free_dbg_nolock",2,0.01,"1,293",0,"1,293",0,
"__free_dbg_nolock",12,0.04,"1,295",0,"1,295",0,
