Function Name,Exclusive Samples,Exclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[kernel32.dll]",19,0.06,0,0,0,0,
"[ntdll.dll]","3,141",9.90,0,0,0,0,
"[PushRelabel.exe]",881,2.78,0,0,0,0,
"__chvalidator_l",2,0.01,65,0,65,0,
"__chvalidator_l",2,0.01,66,0,66,0,
"__chvalidator_l",20,0.06,68,0,68,0,
"__chvalidator_l",5,0.02,69,0,69,0,
"__chvalidator_l",34,0.11,71,0,71,0,
"__chvalidator_l",2,0.01,77,0,77,0,
"__CrtDefaultAllocHook",3,0.01,47,0,47,0,
"__CrtDefaultAllocHook",5,0.02,48,0,48,0,
"__CrtDefaultAllocHook",7,0.02,49,0,49,0,
"__CrtIsValidHeapPointer",2,0.01,"2,030",0,"2,030",0,
"__CrtIsValidHeapPointer",3,0.01,"2,037",0,"2,037",0,
"__CrtIsValidHeapPointer",4,0.01,"2,040",0,"2,040",0,
"__CrtIsValidHeapPointer",6,0.02,"2,047",0,"2,047",0,
"__CrtIsValidHeapPointer",7,0.02,"2,078",0,"2,078",0,
"__CrtIsValidHeapPointer",8,0.03,"2,103",0,"2,103",0,
"__CrtIsValidPointer",4,0.01,"2,007",0,"2,007",0,
"__CrtIsValidPointer",3,0.01,"2,008",0,"2,008",0,
"__CrtIsValidPointer",3,0.01,"2,009",0,"2,009",0,
"__fileno",1,0.00,40,0,40,0,
"__free_base",21,0.07,42,0,42,0,
"__free_base",5,0.02,47,0,47,0,
"__free_base",2,0.01,53,0,53,0,
"__free_base",5,0.02,109,0,109,0,
"__free_base",4,0.01,110,0,110,0,
"__free_base",10,0.03,115,0,115,0,
"__free_dbg",7,0.02,"1,250",0,"1,250",0,
"__free_dbg",1,0.00,"1,253",0,"1,253",0,
"__free_dbg",3,0.01,"1,258",0,"1,258",0,
"__free_dbg",10,0.03,"1,260",0,"1,260",0,
"__free_dbg",4,0.01,"1,263",0,"1,263",0,
"__free_dbg",5,0.02,"1,265",0,"1,265",0,
"__free_dbg_nolock",6,0.02,"1,273",0,"1,273",0,
"__free_dbg_nolock",2,0.01,"1,289",0,"1,289",0,
"__free_dbg_nolock",2,0.01,"1,293",0,"1,293",0,
"__free_dbg_nolock",8,0.03,"1,295",0,"1,295",0,
"__free_dbg_nolock",21,0.07,"1,305",0,"1,305",0,
"__free_dbg_nolock",16,0.05,"1,317",0,"1,317",0,
"__free_dbg_nolock",4,0.01,"1,320",0,"1,320",0,
"__free_dbg_nolock",4,0.01,"1,323",0,"1,323",0,
"__free_dbg_nolock",3,0.01,"1,326",0,"1,326",0,
"__free_dbg_nolock",6,0.02,"1,329",0,"1,329",0,
"__free_dbg_nolock",17,0.05,"1,352",0,"1,352",0,
"__free_dbg_nolock",2,0.01,"1,378",0,"1,378",0,
"__free_dbg_nolock",3,0.01,"1,390",0,"1,390",0,
"__free_dbg_nolock",5,0.02,"1,394",0,"1,394",0,
"__free_dbg_nolock",10,0.03,"1,397",0,"1,397",0,
"__free_dbg_nolock",2,0.01,"1,400",0,"1,400",0,
"__free_dbg_nolock",6,0.02,"1,403",0,"1,403",0,
"__free_dbg_nolock",6,0.02,"1,405",0,"1,405",0,
"__free_dbg_nolock",4,0.01,"1,407",0,"1,407",0,
"__free_dbg_nolock",7,0.02,"1,413",0,"1,413",0,
"__free_dbg_nolock",2,0.01,"1,415",0,"1,415",0,
"__free_dbg_nolock",1,0.00,"1,419",0,"1,419",0,
