Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[kernel32.dll]",1,0.00,0x7C85E9BB,0,0,0,0,
"[kernel32.dll]",4,0.01,0x7C85E9BD,0,0,0,0,
"[kernel32.dll]",2,0.01,0x7C85E9C3,0,0,0,0,
"[kernel32.dll]",3,0.01,0x7C85E9C6,0,0,0,0,
"[kernel32.dll]",3,0.01,0x7C85E9C9,0,0,0,0,
"[kernel32.dll]",3,0.01,0x7C85E9D2,0,0,0,0,
"[ntdll.dll]",70,0.22,0x7C951005,0,0,0,0,
"[ntdll.dll]",36,0.11,0x7C95100C,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C951010,0,0,0,0,
"[ntdll.dll]",133,0.42,0x7C951014,0,0,0,0,
"[ntdll.dll]",32,0.10,0x7C951016,0,0,0,0,
"[ntdll.dll]",659,2.08,0x7C95101A,0,0,0,0,
"[ntdll.dll]",42,0.13,0x7C95101C,0,0,0,0,
"[ntdll.dll]",30,0.09,0x7C95101F,0,0,0,0,
"[ntdll.dll]",41,0.13,0x7C95102B,0,0,0,0,
"[ntdll.dll]",81,0.26,0x7C9510ED,0,0,0,0,
"[ntdll.dll]",50,0.16,0x7C9510F1,0,0,0,0,
"[ntdll.dll]",126,0.40,0x7C9510F6,0,0,0,0,
"[ntdll.dll]",49,0.15,0x7C9510F8,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9510FB,0,0,0,0,
"[ntdll.dll]",886,2.80,0x7C9510FF,0,0,0,0,
"[ntdll.dll]",48,0.15,0x7C951101,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C95EB94,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7C95EDC2,0,0,0,0,
"[ntdll.dll]",10,0.03,0x7C95EDC7,0,0,0,0,
"[ntdll.dll]",7,0.02,0x7C95EDD2,0,0,0,0,
"[ntdll.dll]",7,0.02,0x7C95EDDC,0,0,0,0,
"[ntdll.dll]",9,0.03,0x7C95EDDD,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C95EDDE,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C95EDDF,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C95EDE5,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7C95EDE6,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C95EDF0,0,0,0,0,
"[ntdll.dll]",5,0.02,0x7C95EDF3,0,0,0,0,
"[ntdll.dll]",6,0.02,0x7C95EE02,0,0,0,0,
"[ntdll.dll]",5,0.02,0x7C95EE05,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7C95EE0D,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C95EE0F,0,0,0,0,
"[ntdll.dll]",11,0.03,0x7C95EE10,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C95EE12,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96042B,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960431,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960437,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96043D,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960442,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7C96044C,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960452,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C96045B,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960466,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960473,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960475,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C960480,0,0,0,0,
"[ntdll.dll]",11,0.03,0x7C960483,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960489,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960499,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9604A4,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9604B0,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7C9604BD,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9604CD,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9604D2,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9604D7,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9604DF,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9604EA,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9604F3,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9604FE,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C960511,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9605D4,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C9605D9,0,0,0,0,
"[ntdll.dll]",6,0.02,0x7C9605E3,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9605E6,0,0,0,0,
"[ntdll.dll]",5,0.02,0x7C9605E9,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7C9605FB,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7C96061F,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C960627,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960632,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96063E,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960649,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960651,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C96065A,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960666,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960668,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960B94,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960B96,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960B9C,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960B9F,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960BAF,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960BB2,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960BC4,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960BCE,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960BD4,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960BDA,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960BE3,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960BE5,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960BF1,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960BFA,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960C00,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C960C0A,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960C0C,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960C10,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960C15,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960C25,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960C31,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960C3A,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C960C43,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960C49,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960CCE,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960D02,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960D09,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960D21,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960D2A,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C960D35,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C960D39,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960D46,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C960D55,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960D5E,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960D6C,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960D77,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960D7F,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960D8A,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960DD2,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960DEF,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E00,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E08,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E12,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E18,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E1C,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E21,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960E2A,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E36,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E38,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E5A,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E5D,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E70,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E7D,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960E80,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960E8C,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960E91,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E92,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960E94,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960EF6,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960F0E,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960F3F,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960F50,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C960F60,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7C960F75,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960F88,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960F90,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C960FC2,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960FE3,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C960FE5,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C960FFC,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961000,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96100E,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961011,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961014,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961020,0,0,0,0,
"[ntdll.dll]",5,0.02,0x7C961024,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C961026,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C961028,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96102B,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961034,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96103C,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9611BB,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9611BE,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9611C1,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9611CA,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9611D5,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9611E0,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9611EB,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961214,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96124B,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9612F5,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961301,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96130C,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C96130F,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C96131B,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961320,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961324,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C961337,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96135F,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961384,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9613A8,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9613B0,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9613BE,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96140F,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961414,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961430,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961433,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961455,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961458,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C96145C,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96145F,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961462,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961473,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961498,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C9614B9,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9614BD,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9614C3,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C9614D4,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961516,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961533,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961538,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C961545,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96154F,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C961566,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C96156A,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C96157C,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96157F,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C961588,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C961591,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961596,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9615A8,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9615AD,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7C9615B4,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7C9615C0,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9615DF,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7C9615E2,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9615ED,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961607,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C96160A,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96163F,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C961651,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96168A,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961695,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9616A6,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7C9617DD,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9617DF,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9617E4,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9617ED,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96182A,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C961F49,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961F4C,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961F5D,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C961F6C,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961FB3,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961FBD,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961FC0,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961FC6,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961FCE,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961FD4,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C961FE8,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9636FD,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9636FF,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C963702,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C963703,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C963707,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C96370A,0,0,0,0,
"[ntdll.dll]",3,0.01,0x7C963710,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C963718,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C968154,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C968158,0,0,0,0,
"[ntdll.dll]",9,0.03,0x7C9B0A18,0,0,0,0,
"[ntdll.dll]",2,0.01,0x7C9B0A1A,0,0,0,0,
"[ntdll.dll]",1,0.00,0x7C9B0A24,0,0,0,0,
